,AAPL,AMZN,CVX,GOOGL,INTC,JNJ,JPM,KO,MCD,META,MSFT,NVDA,PEP,PFE,PG,TSLA,V,WMT,XOM,NFLX
AAPL,0.008854881896869784,0.006007822754077107,0.002482813603559355,0.0038292697969024153,0.002825797428421473,0.001868995673567332,0.0030019783574920314,0.001266282180158252,0.002018524139269551,0.004722635693746279,0.004029549309647765,0.009095969686668324,0.0016764483793382788,0.0021355662978401586,0.0016363353042093032,0.012313007206130022,0.0035780267751994166,0.0021442244132326904,0.0027441343764612923,0.005130584295104108
AMZN,0.006007822754077107,0.009011412721470526,0.0026215195454439965,0.004255484028235768,0.0016739830300180503,0.0012837462389190457,0.002047908315712049,0.0004222548907359933,0.0014078653980372396,0.005126666036524058,0.004223715759007141,0.007923831597164014,0.0011204509179154319,0.0020798931728856136,0.00048486166096000223,0.01076151027755253,0.002616400477198535,0.0013994960921115689,0.00180010480441875,0.007076898132431109
CVX,0.002482813603559355,0.0026215195454439965,0.009454856885141838,0.0030969374912014186,0.0036739408467272383,0.002126779284797833,0.005092791858384073,0.002288974398660303,0.0027462178542376125,0.0014316631557448828,0.0021686531694774668,0.003818386421618498,0.0021287452067677184,0.0022798266995207833,0.0008957585028201737,0.0048536363275972485,0.004073326010867466,0.0014043766750762882,0.008923286924173827,0.0028456266272821533
GOOGL,0.0038292697969024153,0.004255484028235768,0.0030969374912014186,0.005426262389273365,0.0021551318407433484,0.0012544127608847668,0.003375278599865566,0.0016358962149186907,0.0015412874429883293,0.004304157331524058,0.003380668130015285,0.005957502599546546,0.0013615314439021098,0.0017403176553274463,0.001106846853845764,0.007487947196067336,0.0026134966319586173,0.0011633140667409213,0.0026826268349912,0.00347244555812398
INTC,0.002825797428421473,0.0016739830300180503,0.0036739408467272383,0.0021551318407433484,0.006671316303832428,0.0016667703288243331,0.003184610930010149,0.0006546105392062538,0.0014041567593444492,0.0018669467966443945,0.0022320058514374605,0.004688986896295461,0.0006987792029763384,0.0012615780075821668,0.0007985676951787429,0.0045733448235637094,0.0028097485400005043,0.000513762884142584,0.0034450816603383487,0.002309780253345751
JNJ,0.001868995673567332,0.0012837462389190457,0.002126779284797833,0.0012544127608847668,0.0016667703288243331,0.0025922392558578966,0.0018879680222021447,0.001511922082558609,0.0015139170053207593,0.0014875762754836784,0.0014448924327537236,0.001381291916738586,0.0016725976783295402,0.0021628034589920055,0.0012679384324301717,0.003629931646734132,0.0017882653883036347,0.0014287136489424732,0.0021918609309935764,0.0006290863131389054
JPM,0.0030019783574920314,0.002047908315712049,0.005092791858384073,0.003375278599865566,0.003184610930010149,0.0018879680222021447,0.006458259469934653,0.0020875541253106366,0.0020929077157219493,0.002823743511205225,0.002347156286557706,0.004294525549156482,0.0016475504328005786,0.00194507319832906,0.001192469636382862,0.003953572993098288,0.003163091289019504,0.0011580907816985582,0.005238493120318488,0.0037073883710235555
KO,0.001266282180158252,0.0004222548907359933,0.002288974398660303,0.0016358962149186907,0.0006546105392062538,0.001511922082558609,0.0020875541253106366,0.0029634585685695282,0.00203892195853355,0.0014742288408872617,0.0011461300193350828,0.0005548653220992612,0.002134057724052451,0.001151759795117926,0.0019118593609065363,0.0024799508264442475,0.0021663474398182416,0.0012394829743193553,0.0021258686547597047,-0.0004991121865046174
MCD,0.002018524139269551,0.0014078653980372396,0.0027462178542376125,0.0015412874429883293,0.0014041567593444492,0.0015139170053207593,0.0020929077157219493,0.00203892195853355,0.0031416608405348545,0.0012633536164898202,0.0014168504200641212,0.0012763570519130237,0.0019440061189391676,0.0016531150315484812,0.001604321303608363,0.004029147333252765,0.0024704967218026454,0.0014551187279138334,0.0024887242346376746,0.0010456311072235035
META,0.004722635693746279,0.005126666036524058,0.0014316631557448828,0.004304157331524058,0.0018669467966443945,0.0014875762754836784,0.002823743511205225,0.0014742288408872617,0.0012633536164898202,0.01270189252496436,0.0037295949505259233,0.0070684304472990196,0.0012793412030542063,0.0027911223391677872,0.0019909089629192873,0.007697192579311435,0.002678653188664556,0.0016946961923874542,0.0012448007255024313,0.003970902614224437
MSFT,0.004029549309647765,0.004223715759007141,0.0021686531694774668,0.003380668130015285,0.0022320058514374605,0.0014448924327537236,0.002347156286557706,0.0011461300193350828,0.0014168504200641212,0.0037295949505259233,0.0038668181781645696,0.006109035531920876,0.0014279261885157787,0.0014875978831066549,0.0010330648050942053,0.007354891286064605,0.002303477674745496,0.0014035149169567987,0.0018811706791521843,0.0037310942632775884
NVDA,0.009095969686668324,0.007923831597164014,0.003818386421618498,0.005957502599546546,0.004688986896295461,0.001381291916738586,0.004294525549156482,0.0005548653220992612,0.0012763570519130237,0.0070684304472990196,0.006109035531920876,0.01979411826642595,0.0010528159701300027,0.0034091565293595844,0.0008408313018772449,0.012240059335565533,0.003649199931997805,0.0023782630442628623,0.0030012673670535375,0.009570935697801817
PEP,0.0016764483793382788,0.0011204509179154319,0.0021287452067677184,0.0013615314439021098,0.0006987792029763384,0.0016725976783295402,0.0016475504328005786,0.002134057724052451,0.0019440061189391676,0.0012793412030542063,0.0014279261885157787,0.0010528159701300027,0.0025185366544978756,0.0016223493571248149,0.0018682352711747775,0.0030321354675221426,0.0018651481075344465,0.001568245967691527,0.0019577225952551636,0.0006763849517749283
PFE,0.0021355662978401586,0.0020798931728856136,0.0022798266995207833,0.0017403176553274463,0.0012615780075821668,0.0021628034589920055,0.00194507319832906,0.001151759795117926,0.0016531150315484812,0.0027911223391677872,0.0014875978831066549,0.0034091565293595844,0.0016223493571248149,0.005956687797252629,0.0013058593430372997,0.0028404213022555904,0.001458731071962924,0.0013230673802831013,0.0011743389495499318,0.0012461705644935272
