ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,SB,10/18/2020,90,58,59,47,31,27,31,98,127,140,148,189,208,266,215,242,234,219,167,239,220,160,148,106
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,NB,10/10/2020,36,32,10,8,13,17,41,70,93,118,124,138,161,174,188,166,183,167,136,121,88,80,64,59
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,NB,10/11/2020,38,25,13,11,11,19,33,59,54,62,109,145,159,155,175,136,167,132,132,129,131,102,80,50
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,NB,10/12/2020,26,13,10,6,8,42,102,164,254,236,217,209,196,237,234,261,255,285,210,189,117,81,66,56
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,NB,10/13/2020,30,9,9,13,12,59,127,253,303,312,255,235,254,247,283,340,301,323,266,205,142,100,71,59
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,NB,10/14/2020,32,14,10,11,13,66,132,211,274,252,222,256,235,274,261,277,334,352,272,213,137,107,75,63
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,NB,10/15/2020,27,13,7,12,14,60,139,217,269,255,244,220,241,229,280,311,302,415,275,199,131,114,70,67
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,NB,10/16/2020,37,30,8,14,16,59,131,224,292,246,263,239,253,295,304,334,344,332,231,191,108,82,74,49
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,NB,10/17/2020,44,41,17,17,13,20,34,75,92,109,132,139,178,174,165,167,177,169,130,127,90,76,60,64
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,NB,10/18/2020,41,34,27,13,17,23,40,34,57,64,103,131,156,165,170,140,166,140,137,124,126,92,84,73
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,SB,10/10/2020,95,51,36,11,21,39,54,99,176,180,207,244,250,299,271,300,294,276,242,203,156,164,138,90
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,SB,10/11/2020,81,70,41,24,24,37,39,78,112,133,151,198,224,260,243,246,235,196,183,243,207,192,148,118
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,SB,10/12/2020,64,40,24,21,12,37,74,157,239,263,244,314,300,366,325,327,340,362,296,215,210,157,131,95
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,SB,10/13/2020,50,34,17,10,21,49,76,188,304,311,281,351,381,387,411,380,394,410,355,291,224,178,140,119
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,SB,10/14/2020,40,31,14,14,43,43,138,226,259,252,352,325,375,380,380,380,424,411,318,276,200,158,140,81
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,SB,10/15/2020,53,23,17,13,27,52,148,226,268,268,336,310,375,388,394,424,435,386,322,292,203,170,119,74
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,SB,10/16/2020,52,33,18,18,33,58,128,210,288,295,327,377,399,403,415,423,385,357,239,233,155,146,124,89
93,27462,BEDFORD AVENUE,Quentin Road,Avenue R,SB,10/17/2020,101,30,31,19,16,32,55,115,176,177,212,240,261,304,275,298,290,262,255,192,141,156,154,111
32,27462,Bedford Avenue,Quentin Road,Avenue R,NB,11/11/2017,46,36,31,18,19,28,47,75,156,164,191,192,215,188,179,161,159,197,233,192,198,130,121,94
32,27462,Bedford Avenue,Quentin Road,Avenue R,SB,11/11/2017,89,58,30,21,32,48,60,109,180,196,224,248,257,291,281,238,266,279,316,365,325,247,177,180
32,27462,Bedford Avenue,Quentin Road,Avenue R,NB,11/12/2017,71,47,25,24,14,17,54,103,157,241,222,270,316,329,302,275,305,287,263,207,148,120,115,74
32,27462,Bedford Avenue,Quentin Road,Avenue R,SB,11/12/2017,107,85,50,43,42,47,58,121,201,300,301,353,380,440,454,440,393,425,337,306,222,192,139,83
32,27462,Bedford Avenue,Quentin Road,Avenue R,NB,11/13/2017,44,13,24,11,22,81,289,570,545,298,308,326,351,364,387,440,432,508,391,273,223,131,141,67
32,27462,Bedford Avenue,Quentin Road,Avenue R,SB,11/13/2017,76,42,24,18,23,54,137,506,569,519,418,474,468,486,523,590,717,676,664,473,362,241,163,130
32,27462,Bedford Avenue,Quentin Road,Avenue R,NB,11/14/2017,43,25,12,15,25,60,287,512,548,498,372,359,345,317,411,481,503,479,372,275,232,161,124,86
32,27462,Bedford Avenue,Quentin Road,Avenue R,SB,11/14/2017,80,36,28,12,28,49,178,494,521,419,353,375,367,415,534,623,660,735,581,452,367,290,210,98
32,27462,Bedford Avenue,Quentin Road,Avenue R,NB,11/15/2017,51,23,23,7,9,72,274,530,483,421,362,299,348,330,411,457,488,438,353,322,224,138,130,73
32,27462,Bedford Avenue,Quentin Road,Avenue R,SB,11/15/2017,73,38,26,12,27,62,112,468,527,440,376,376,460,484,508,645,652,641,522,410,356,279,207,151
32,27462,Bedford Avenue,Quentin Road,Avenue R,NB,11/16/2017,51,26,10,16,16,60,281,546,504,458,363,273,356,339,447,476,471,482,408,303,234,146,132,113
32,27462,Bedford Avenue,Quentin Road,Avenue R,SB,11/16/2017,81,39,23,14,30,56,167,409,483,518,382,444,451,516,508,537,689,697,639,547,445,265,230,150
