ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
269,91529,SANFORD AVE,147 STREET,149 STREET,EB,10/27/2012,49,51,38,24,22,38,41,96,196,229,246,245,255,238,226,261,300,288,265,242,260,220,168,127
269,91529,SANFORD AVE,147 STREET,149 STREET,EB,10/28/2012,106,65,51,33,25,24,38,56,106,174,201,198,238,281,284,238,236,276,229,191,128,145,86,76
269,91529,SANFORD AVE,147 STREET,149 STREET,EB,02/02/2013,67,46,29,28,21,29,70,107,215,220,204,232,265,269,241,265,233,261,256,254,206,178,207,114
269,91529,SANFORD AVE,147 STREET,149 STREET,EB,02/03/2013,97,47,43,20,27,27,39,53,137,194,181,152,249,257,246,271,225,263,223,239,167,159,146,121
269,91529,SANFORD AVE,147 STREET,149 STREET,EB,02/04/2013,63,23,18,12,28,36,80,194,261,186,187,190,178,209,243,261,268,306,328,333,283,185,165,86
269,91529,SANFORD AVE,147 STREET,149 STREET,EB,02/05/2013,50,40,26,14,23,37,89,200,273,190,187,159,189,230,236,289,287,305,337,298,238,193,147,102
269,91529,SANFORD AVE,147 STREET,149 STREET,EB,02/06/2013,70,29,30,18,26,35,89,189,239,193,185,186,183,197,250,309,230,296,322,304,268,211,181,89
269,91529,SANFORD AVE,147 STREET,149 STREET,EB,02/07/2013,53,36,32,18,31,37,93,214,258,203,201,188,194,229,264,258,297,316,321,297,270,218,165,113
269,91529,SANFORD AVE,147 STREET,149 STREET,WB,10/27/2012,48,50,35,33,36,58,90,144,324,466,362,377,414,368,384,331,345,326,340,369,325,245,194,183
269,91529,SANFORD AVE,147 STREET,149 STREET,WB,10/28/2012,125,75,62,46,33,30,52,99,199,322,381,354,379,373,349,307,309,292,249,237,151,138,122,80
269,91529,SANFORD AVE,147 STREET,149 STREET,WB,02/02/2013,79,52,27,31,40,62,94,154,403,429,369,398,414,383,346,297,291,284,296,289,240,181,174,141
269,91529,SANFORD AVE,147 STREET,149 STREET,WB,02/03/2013,107,47,25,28,34,24,40,95,224,304,408,332,293,321,324,291,278,282,277,246,166,159,127,135
269,91529,SANFORD AVE,147 STREET,149 STREET,WB,02/04/2013,59,44,25,15,19,49,156,374,444,378,300,258,245,275,312,339,281,341,322,316,291,163,145,95
269,91529,SANFORD AVE,147 STREET,149 STREET,WB,02/05/2013,39,34,24,18,16,66,162,350,462,383,307,277,287,265,319,344,302,329,300,284,249,180,151,79
269,91529,SANFORD AVE,147 STREET,149 STREET,WB,02/06/2013,49,36,17,18,30,71,152,361,457,384,312,288,256,256,306,312,296,324,350,334,249,180,171,94
269,91529,SANFORD AVE,147 STREET,149 STREET,WB,02/07/2013,46,28,18,21,26,51,174,352,487,380,334,283,276,299,325,281,343,346,329,297,313,182,168,123
275,91529,Sanford Avenue,147 Street,149 Street,EB,10/25/2014,126,65,51,27,22,23,43,63,142,230,199,216,227,254,208,223,214,259,234,272,238,218,197,172
275,91529,Sanford Avenue,147 Street,149 Street,WB,10/25/2014,143,75,55,33,31,39,74,103,214,418,404,362,355,343,346,318,332,326,328,299,344,247,191,182
275,91529,Sanford Avenue,147 Street,149 Street,EB,10/26/2014,115,65,39,34,28,18,20,37,56,134,175,198,210,241,263,232,266,237,228,279,232,189,133,148
275,91529,Sanford Avenue,147 Street,149 Street,WB,10/26/2014,89,61,41,41,37,31,50,120,257,377,402,369,370,396,328,323,272,291,370,287,216,181,173,89
275,91529,Sanford Avenue,147 Street,149 Street,EB,10/27/2014,54,23,21,15,20,38,89,224,306,215,177,195,206,222,220,276,281,299,363,312,237,178,146,95
275,91529,Sanford Avenue,147 Street,149 Street,WB,10/27/2014,50,30,34,17,33,70,193,380,455,447,362,299,283,260,339,360,289,379,385,310,288,185,150,87
275,91529,Sanford Avenue,147 Street,149 Street,EB,10/28/2014,65,22,15,16,20,38,101,251,253,218,186,153,194,202,230,245,242,300,334,275,232,146,162,88
275,91529,Sanford Avenue,147 Street,149 Street,WB,10/28/2014,66,32,19,21,21,68,212,382,454,421,333,271,297,281,344,314,290,350,351,336,296,169,129,112
275,91529,Sanford Avenue,147 Street,149 Street,EB,10/29/2014,58,38,24,21,26,33,81,245,242,189,192,174,194,220,251,279,265,284,367,300,287,191,156,79
275,91529,Sanford Avenue,147 Street,149 Street,WB,10/29/2014,54,28,19,33,28,85,190,390,487,434,334,295,296,299,362,312,326,394,372,329,306,174,190,89
275,91529,Sanford Avenue,147 Street,149 Street,EB,10/30/2014,59,25,18,16,17,37,97,256,284,192,177,176,200,193,259,236,238,320,365,292,262,182,163,102
275,91529,Sanford Avenue,147 Street,149 Street,WB,10/30/2014,58,35,21,21,28,74,196,383,498,398,344,340,333,308,329,331,292,367,376,335,305,183,180,108
275,91529,Sanford Avenue,147 Street,149 Street,EB,10/31/2014,55,24,30,16,23,32,79,250,275,168,202,196,191,222,278,251,275,306,368,333,267,213,184,130
275,91529,Sanford Avenue,147 Street,149 Street,WB,10/31/2014,41,28,24,24,28,76,190,369,464,369,339,292,297,253,344,322,326,390,389,369,292,195,200,128
275,91529,Sanford Avenue,147 Street,149 Street,EB,11/01/2014,62,55,46,30,36,36,49,113,210,206,213,241,249,281,236,249,238,257,267,264,196,159,151,131
275,91529,Sanford Avenue,147 Street,149 Street,WB,11/01/2014,85,57,45,36,39,83,102,162,422,410,356,375,379,356,329,322,361,290,295,338,243,203,200,135
275,91529,Sanford Avenue,147 Street,149 Street,EB,11/02/2014,48,52,19,12,32,16,32,62,147,205,196,233,258,279,250,260,253,260,246,261,186,129,133,115
275,91529,Sanford Avenue,147 Street,149 Street,WB,11/02/2014,81,67,32,30,30,32,44,143,312,392,509,429,380,332,347,327,308,275,303,261,190,179,167,114
257,91529,Sanford Avenue,147 Street,149 Street,EB,09/23/2017,74,37,44,28,31,28,55,126,210,229,195,211,220,224,241,240,236,223,228,189,238,167,168,134
257,91529,Sanford Avenue,147 Street,149 Street,WB,09/23/2017,72,44,37,37,39,77,79,193,399,412,400,397,356,336,334,292,332,338,314,339,313,206,171,160
257,91529,Sanford Avenue,147 Street,149 Street,EB,09/24/2017,74,57,30,22,20,23,46,82,145,217,224,224,212,249,232,248,217,208,210,221,182,156,148,88
257,91529,Sanford Avenue,147 Street,149 Street,WB,09/24/2017,92,50,48,37,37,31,57,119,276,335,402,352,324,350,339,285,282,273,297,320,245,189,178,111
257,91529,Sanford Avenue,147 Street,149 Street,EB,09/25/2017,53,27,32,24,25,31,84,231,230,200,182,190,185,231,272,231,256,293,316,264,266,203,152,105
257,91529,Sanford Avenue,147 Street,149 Street,WB,09/25/2017,51,36,38,20,27,72,195,377,492,378,333,301,252,344,337,312,319,365,304,310,286,171,165,88
257,91529,Sanford Avenue,147 Street,149 Street,EB,09/26/2017,49,26,20,15,20,37,101,222,236,199,186,187,192,219,256,222,255,287,295,296,232,198,161,110
257,91529,Sanford Avenue,147 Street,149 Street,WB,09/26/2017,53,32,27,22,21,74,203,417,479,466,372,294,263,300,327,328,333,388,358,293,269,167,168,96
257,91529,Sanford Avenue,147 Street,149 Street,EB,09/27/2017,60,34,24,15,16,37,76,182,252,154,177,186,203,210,282,294,244,308,271,272,252,190,185,109
257,91529,Sanford Avenue,147 Street,149 Street,WB,09/27/2017,54,51,17,25,21,66,217,398,474,375,328,289,261,267,373,307,303,425,351,339,288,209,169,114
257,91529,Sanford Avenue,147 Street,149 Street,EB,09/28/2017,61,22,27,20,23,46,77,229,239,188,177,188,203,188,191,248,225,278,302,267,261,190,168,131
257,91529,Sanford Avenue,147 Street,149 Street,WB,09/28/2017,60,36,27,24,26,64,190,424,456,373,321,291,247,257,284,308,311,353,337,297,342,208,195,116
257,91529,Sanford Avenue,147 Street,149 Street,EB,09/29/2017,60,26,15,26,18,37,83,233,241,193,164,161,213,223,230,255,252,269,277,266,273,222,192,133
257,91529,Sanford Avenue,147 Street,149 Street,WB,09/29/2017,76,37,21,28,41,64,199,375,458,355,298,290,290,293,342,347,320,397,366,332,335,247,217,136
257,91529,Sanford Avenue,147 Street,149 Street,EB,09/30/2017,82,37,39,28,27,35,53,114,220,221,216,224,244,229,226,248,237,239,236,250,239,192,157,122
257,91529,Sanford Avenue,147 Street,149 Street,WB,09/30/2017,75,46,41,34,34,63,93,173,381,389,326,381,382,383,297,324,327,347,326,323,276,187,204,147
257,91529,Sanford Avenue,147 Street,149 Street,EB,10/01/2017,72,51,37,17,21,28,40,70,176,240,197,270,239,239,217,225,232,230,235,230,188,178,141,116
257,91529,Sanford Avenue,147 Street,149 Street,WB,10/01/2017,89,63,50,45,35,34,50,112,258,339,410,399,359,370,307,333,278,301,338,314,218,178,204,82
302,91529,SANFORD AVENUE,147th Street,149th Street,EB,11/14/2020,38,17,18,22,29,23,38,60,124,165,189,192,206,212,206,177,204,200,179,152,158,128,113,57
302,91529,SANFORD AVENUE,147th Street,149th Street,EB,11/15/2020,36,15,19,17,19,24,29,46,82,136,140,155,187,160,180,208,179,164,184,149,111,76,86,48
302,91529,SANFORD AVENUE,147th Street,149th Street,EB,11/16/2020,22,20,9,9,8,25,35,95,153,139,134,147,169,180,188,213,191,250,231,163,137,83,70,46
302,91529,SANFORD AVENUE,147th Street,149th Street,EB,11/17/2020,34,12,12,10,8,23,46,108,174,142,149,165,171,181,194,181,203,232,202,200,130,95,71,47
302,91529,SANFORD AVENUE,147th Street,149th Street,EB,11/18/2020,26,14,5,9,9,29,53,106,140,142,151,171,166,183,169,193,221,224,213,200,127,93,85,47
302,91529,SANFORD AVENUE,147th Street,149th Street,EB,11/19/2020,32,16,7,8,9,30,44,105,144,133,148,158,174,158,166,162,215,207,203,175,134,89,72,41
302,91529,SANFORD AVENUE,147th Street,149th Street,EB,11/20/2020,22,13,7,7,6,19,41,101,161,130,163,187,155,166,192,185,215,218,204,180,168,107,82,72
302,91529,SANFORD AVENUE,147th Street,149th Street,EB,11/21/2020,44,24,11,7,17,20,30,77,144,159,192,207,209,209,189,197,193,208,184,175,139,126,98,67
302,91529,SANFORD AVENUE,147th Street,149th Street,EB,11/22/2020,41,16,9,10,8,21,17,59,91,128,150,152,182,172,177,185,195,161,173,145,98,94,91,37
302,91529,SANFORD AVENUE,147th Street,149th Street,WB,11/14/2020,49,24,15,12,20,42,76,134,224,331,370,313,326,331,297,298,318,307,245,244,177,126,116,80
