ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/12/2012,129,87,89,86,73,88,139,214,238,246,260,285,278,338,318,344,384,388,381,390,266,275,215,215
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/13/2012,172,138,107,93,112,107,121,185,221,282,313,273,370,360,365,385,353,410,340,325,287,248,232,213
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/14/2012,158,116,103,110,103,113,120,175,160,220,346,315,273,269,323,321,312,269,278,239,182,209,178,134
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/15/2012,107,67,55,66,63,89,142,203,286,312,281,282,318,263,285,332,311,328,329,280,244,191,125,130
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/16/2012,119,76,59,57,60,72,156,237,289,244,296,282,319,313,321,305,329,338,333,316,227,184,110,126
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/17/2012,95,58,61,50,58,57,122,233,344,255,260,288,305,292,251,305,332,326,325,277,241,194,158,147
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/18/2012,114,53,55,40,45,71,130,237,394,307,314,333,339,395,337,342,323,343,369,342,264,216,194,142
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/19/2012,123,55,75,59,64,83,121,229,290,262,288,289,287,339,302,316,339,358,414,358,302,271,227,206
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/20/2012,173,140,89,98,106,123,126,182,197,243,310,350,312,360,408,438,370,360,422,379,319,259,238,221
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,10/21/2012,201,137,124,111,126,104,124,168,174,209,288,299,300,291,352,310,308,274,264,203,201,192,167,122
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/12/2012,155,114,89,103,134,171,316,497,469,394,422,425,414,465,514,480,447,417,423,473,409,377,318,305
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/13/2012,254,192,137,134,159,156,207,263,333,439,449,437,478,493,487,472,453,457,435,405,388,351,332,313
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/14/2012,263,197,172,159,166,132,187,196,284,328,440,519,462,448,473,361,331,320,351,337,319,293,292,213
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/15/2012,152,98,84,74,108,172,334,515,408,405,369,394,428,448,436,455,470,374,369,335,286,233,187,162
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/16/2012,138,108,80,61,88,156,309,486,398,342,369,378,443,428,426,460,427,467,396,380,286,236,211,184
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/17/2012,141,69,63,62,78,152,274,462,380,305,389,374,410,426,395,474,454,442,428,436,344,305,254,193
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/18/2012,140,105,71,67,94,172,327,462,397,313,394,421,472,438,458,527,462,518,438,431,367,321,282,212
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/19/2012,155,109,98,83,103,204,314,477,418,393,420,435,408,460,502,483,501,521,511,513,410,391,365,320
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/20/2012,269,213,177,151,201,188,254,250,355,401,454,471,500,500,529,521,527,522,541,483,476,398,384,369
308,132595,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,SB,10/21/2012,287,232,182,162,229,158,206,211,292,346,427,470,458,466,502,423,408,430,435,358,383,318,249,239
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/13/2014,404,374,300,242,206,161,151,161,215,280,335,386,363,458,482,510,554,559,509,472,475,469,431,417
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/13/2014,167,131,129,84,74,74,112,160,181,268,269,320,374,350,365,430,362,351,352,342,267,217,190,188
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/14/2014,379,320,299,243,214,185,168,174,172,237,244,357,387,464,456,422,478,400,393,448,428,367,330,259
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/14/2014,193,146,151,116,93,101,87,181,156,188,289,265,271,269,340,295,269,253,276,278,217,170,156,125
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/15/2014,245,179,149,107,85,115,159,273,516,495,385,344,347,432,389,415,440,408,385,379,410,414,310,267
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/15/2014,108,64,56,52,57,64,119,210,275,220,221,237,255,258,256,296,315,299,293,283,228,205,140,150
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/16/2014,244,183,123,78,72,87,120,249,426,445,349,388,341,372,403,405,453,424,446,379,371,334,262,245
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/16/2014,90,70,60,44,55,74,112,254,304,267,232,250,268,267,259,279,290,362,254,291,277,182,133,146
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/17/2014,226,164,107,81,68,88,103,272,426,396,349,343,362,396,414,417,448,451,415,408,401,357,291,328
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/17/2014,109,77,50,64,73,89,118,255,304,217,229,269,256,242,274,287,306,313,287,280,259,210,157,174
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/18/2014,228,177,128,92,60,86,133,250,409,431,390,305,370,378,463,403,456,438,474,427,434,444,334,301
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/18/2014,98,83,65,41,60,64,113,243,271,184,236,246,285,260,258,305,307,324,297,318,256,198,177,154
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/19/2014,268,181,144,100,77,103,149,242,437,453,378,383,427,470,445,468,513,439,468,495,506,507,458,394
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/19/2014,114,80,53,49,66,82,142,232,267,208,249,286,294,287,304,309,321,358,372,351,330,255,215,210
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/20/2014,343,273,203,208,128,144,135,174,256,291,338,362,400,484,468,470,494,492,481,481,486,470,440,362
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/20/2014,157,140,106,92,105,83,97,149,162,196,280,283,348,313,308,334,356,340,340,361,310,264,234,226
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/21/2014,402,335,289,223,180,179,166,130,205,235,356,374,482,439,420,434,479,408,395,430,393,392,282,240
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/21/2014,205,137,118,86,98,95,89,157,157,205,288,284,249,270,323,255,277,247,243,220,247,181,166,124
155,147032,White Plains Road,East 215 Street,East 216 Street,NB,09/23/2017,245,182,148,142,110,97,122,205,250,262,325,331,398,452,460,457,450,452,457,361,347,358,257,283
155,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/23/2017,303,317,247,201,185,177,231,342,325,375,472,495,415,475,467,473,478,476,467,504,483,460,396,384
155,147032,White Plains Road,East 215 Street,East 216 Street,NB,09/24/2017,231,165,162,100,107,121,103,182,202,251,348,321,459,471,465,475,430,316,299,315,281,262,212,162
155,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/24/2017,322,277,245,190,181,180,194,256,329,346,422,478,458,448,499,453,457,412,437,428,407,374,297,293
155,147032,White Plains Road,East 215 Street,East 216 Street,NB,09/25/2017,148,113,68,68,83,70,118,257,288,250,262,323,325,278,290,367,344,292,312,326,316,230,198,179
155,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/25/2017,206,161,134,99,111,191,349,433,382,347,343,374,391,350,387,480,416,417,402,386,366,288,283,225
155,147032,White Plains Road,East 215 Street,East 216 Street,NB,09/26/2017,143,91,52,55,58,81,151,234,281,267,265,262,305,278,315,336,325,300,326,317,295,238,194,165
155,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/26/2017,163,135,84,104,92,186,350,443,382,346,332,383,380,409,431,382,426,409,380,449,370,327,319,276
155,147032,White Plains Road,East 215 Street,East 216 Street,NB,09/27/2017,150,106,57,63,51,84,155,270,295,281,279,280,268,304,301,325,332,363,367,319,302,272,197,170
155,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/27/2017,180,170,93,100,103,194,351,403,395,354,364,359,347,407,404,408,392,373,389,408,398,329,287,270
155,147032,White Plains Road,East 215 Street,East 216 Street,NB,09/28/2017,132,91,74,68,56,92,128,253,335,270,268,276,291,274,294,357,353,347,398,359,291,228,205,189
155,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/28/2017,190,134,102,105,89,189,338,423,364,351,342,355,386,374,405,422,417,434,433,373,419,344,320,278
155,147032,White Plains Road,East 215 Street,East 216 Street,NB,09/29/2017,134,89,77,69,67,83,149,250,276,242,241,310,302,307,321,385,396,391,435,397,367,291,286,289
155,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/29/2017,205,156,115,103,121,196,326,404,359,335,412,401,402,407,447,474,475,469,481,535,461,406,409,337
155,147032,White Plains Road,East 215 Street,East 216 Street,NB,09/30/2017,243,196,154,138,108,99,131,196,243,251,335,347,409,416,460,476,456,453,420,390,360,298,239,256
155,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/30/2017,300,263,223,180,208,175,225,279,314,363,411,414,437,486,488,490,487,477,516,484,459,419,391,372
155,147032,White Plains Road,East 215 Street,East 216 Street,NB,10/01/2017,205,176,149,101,113,106,118,181,196,263,333,326,399,439,446,450,433,319,284,313,264,238,212,173
155,132595,White Plains Road,East 215 Street,East 216 Street,SB,10/01/2017,303,273,233,188,194,207,192,241,292,391,440,476,417,522,550,476,373,385,407,414,380,320,272,260
